Segment,Error_Code,Error_ID,Description
FO,16041,BROKER_NOT_FOUND,Trading member does not exit in the system.
FO,16042,USER_NOT_FOUND,Dealer does not exist in the system.
FO,16043,DUPLICATE_RECORD,This record already exits on the NEAT system.
FO,16044,e$order_modified,Order has been modified. Please try again.
FO,16049,STOCK_SUSPENDED,Stock is suspended.
FO,16052,ERR_FUNCTION_NOT_AVAILABLE,Function Not Available
FO,16053,e$change_password,"Your password has expired, must be changed."
FO,16054,ERR_INVALID_BRANCH,Invalid branch for trading member.
FO,16056,OE_PROGRAM_ERROR,Program error.
FO,16086,e$dup_trd_cxl_request,Duplicate trade cancel request.
FO,16098,ERR_INVALID_BUYER_USER_ID,Invalid trader ID for buyer.
FO,16099,ERR_INVALID_SELLER_USER_ID,Invalid trader ID for buyer.
FO,16100,e$invalid_version,Your system version has not been updated.
FO,16104,OE_SYSTEM_ERROR,System could not complete your transaction - Admin notified.
FO,16148,ERR_INVALID_USER_ID,Invalid Dealer ID entered.
FO,16154,ERR_INVALID_TRADER_ID,Invalid Trader ID entered.
FO,16169,OE_ATO_IN_OPEN,Order priced ATO cannot be entered when a security is open.
FO,16198,e$dup_request,Duplicate modification or cancellation request for the same trade has been encountered.
FO,16227,e$only_cp_allowed,Only market orders are allowed in postclose.
FO,16228,e$sl_mit_nt_not_allowed_pclose,"SL, MIT or NT orders are not allowed during Post Close."
FO,16229,e$gtc_gtd_ord_not_allowed_pclose,GTC GTD or GTDays orders are Not Allowed during Post Close.
FO,16230,OE_CONT_MOD_NOT_ALLOWED,Continuous session orders cannot be modified.
FO,16231,TRD_CONT_MOD_NOT_ALLOWED,Continuous session trades cannot be changed.
FO,16233,STR_PRO_PARTIVIPANT_INVALID,Proprietary requests cannot be made for participant.
FO,16247,ERROR_INVALID_PRICE,“Invalid Price”
FO,16251,OE_DIFF_TRD_MOD_VOL,Trade modification with different quantities is received.
FO,16273,RECORD_NOT_FOUND,Record does not exit.
FO,16278,OE_MARKETS_CLOSED,The markets have not been opened for trading.
FO,16279,OE_SECURITY_NOT_ADMITTED,The contract has not yet been admitted for trading.
FO,16280,OE_SECURITY_MATURED,The Contract has matured.
FO,16281,OE_SECURITY_EXPELLED,The security has been expelled.
FO,16282,OE_ISSUED_CAP_EXCEEDS,The order quantity is greater than the issued capital.
